docId	stateCode	stateName	population	population2010	populationChange	houseSeatsCount	populationPercent
alabama	AL	Alabama	4903185	4779736	2.6	7	1.48
alaska	AK	Alaska	731545	710231	3	1	0.22
arizona	AZ	Arizona	7278717	6392017	13.9	9	2.17
arkansas	AR	Arkansas	3017825	2915918	3.5	4	0.91
california	CA	California	39512223	37254523	6.1	53	11.96
colorado	CO	Colorado	5758736	5029196	14.5	7	1.72
connecticut	CT	Connecticut	3565287	3574097	-0.2	5	1.08
delaware	DE	Delaware	973764	897934	8.4	1	0.29
florida	FL	Florida	21477737	18801310	14.2	27	6.44
georgia	GA	Georgia	10617423	9687653	9.6	14	3.18
hawaii	HI	Hawaii	1415872	1360301	4.1	2	0.43
idaho	ID	Idaho	1792065	1567582	13.9	2	0.53
illinois	IL	Illinois	12671821	12830632	-1.2	18	3.85
indiana	IN	Indiana	6732219	6483802	3.8	9	2.02
iowa	IA	Iowa	3155070	3046355	3.6	4	0.95
kansas	KS	Kansas	2913314	2853118	2.1	4	0.88
kentucky	KY	Kentucky	4467673	4339367	3	6	1.35
louisiana	LA	Louisiana	4648794	4533372	2.5	6	1.41
maine	ME	Maine	1344212	1328361	1.2	2	0.4
maryland	MD	Maryland	6045680	5773552	4.7	8	1.83
massachusetts	MA	Massachusetts	6949503	6547629	5.3	9	2.09
michigan	MI	Michigan	9986857	9883640	1	14	3.02
minnesota	MN	Minnesota	5639632	5303925	6.3	8	1.7
mississippi	MS	Mississippi	2976149	2967297	0.3	4	0.9
missouri	MO	Missouri	6137428	5988927	2.5	8	1.85
montana	MT	Montana	1068778	989415	8	1	0.32
nebraska	NE	Nebraska	1934408	1826341	5.9	3	0.58
nevada	NV	Nevada	3080156	2700551	14.1	4	0.92
new-hampshire	NH	New Hampshire	1359711	1316470	3.3	2	0.41
new-jersey	NJ	New Jersey	8882190	8791894	1	12	2.69
new-mexico	NM	New Mexico	2096829	2059179	1.8	3	0.63
new-york	NY	New York	19453561	19378102	0.4	27	5.91
north-carolina	NC	North Carolina	10488084	9535483	10	13	3.14
north-dakota	ND	North Dakota	762062	672591	13.3	1	0.23
ohio	OH	Ohio	11689100	11536504	1.3	16	3.53
oklahoma	OK	Oklahoma	3956971	3751351	5.5	5	1.19
oregon	OR	Oregon	4217737	3831074	10.1	5	1.27
pennsylvania	PA	Pennsylvania	12801989	12702379	0.8	18	3.87
rhode-island	RI	Rhode Island	1059361	1052567	0.6	2	0.32
south-carolina	SC	South Carolina	5148714	4625364	11.3	7	1.54
south-dakota	SD	South Dakota	884659	814180	8.7	1	0.27
tennessee	TN	Tennessee	6833174	6346105	7.6	9	2.05
texas	TX	Texas	28995881	25145561	15.3	36	8.68
utah	UT	Utah	3205958	2763885	16	4	0.96
vermont	VT	Vermont	623989	625741	-0.2	1	0.19
virginia	VA	Virginia	8535519	8001024	6.7	11	2.58
washington	WA	Washington	7614893	6724540	13.2	10	2.28
west-virginia	WV	West Virginia	1787147	1852994	-3.3	3	0.55
wisconsin	WI	Wisconsin	5822434	5686986	2.4	8	1.76
wyoming	WY	Wyoming	578759	563626	2.7	1	0.17